query,query_id,query_type,first_answer,passage_text
jessalyn name meaning,20458,description,Form of jessica and lyn,"Meaning of Jessalyn. Spanish name. In Spanish, the name Jessalyn means-form of jessica and lyn.The name Jessalyn originated as an Spanish name. The name Jessalyn is most often used as a girl name or female name. Spanish Name Meaning-form of jessica and lyn. "
average salary for assistant company secretary,20459,numeric,"$73,822","Assistant Secretary Salary. Assistant Secretary average salary is $73,822, median salary is $- with a salary range from $27,643 to $120,000. Assistant Secretary salaries are collected from government agencies and companies. Each salary is associated with a real job position. "
what is the dominance hierarchy for bottlenose dolphins,20460,entity,The genus Tursiops is the dominance hierarchy for bottlenose dolphins.,"Bottlenose dolphins, the genus Tursiops, are the most common and well-known members of the family Delphinidae, the family of oceanic dolphin. 1 The Indo-Pacific bottlenose dolphin (T. aduncus) lives in the waters around India, northern Australia, South China, the Red Sea, and the eastern coast of Africa; the back is dark-grey and the belly is lighter grey or nearly white with grey spots."
how is Kanchenjunga formed,20461,description,"is located in the Himalayas, about 100 miles east of Mount Everest.It is 28,169 feet (8,586 m.) above sea level, it is situated in the eastern Himalayas on the border between northeastern India and eastern Nepal, 46 miles (74 km) north-northwest of Darjeeling, a town in the Indian state of West Bengal.t is 28,169 feet (8,586 m.)","Kangchenjunga is the world's third tallest mountain and is located in the Himalayas, about 100 miles east of Mount Everest. It is 28,169 feet (8,586 m.) above sea level. Also spelled Kanchenjunga or Kinchinjunga, it is situated in the eastern Himalayas on the border between northeastern India and eastern Nepal, 46 miles (74 km) north-northwest of Darjeeling, a town in the Indian state of West Bengal."
What became known as the “containment policy” was written by,20462,person,Policy eventually became the central concept defining U.S. foreign policy in the Cold War.,"Containment Policy. During the Truman administration, a containment policy was developed. The policy eventually became the central concept defining U.S. foreign policy in the Cold War. To contain Soviet Communism, President Harry Truman used American military and financial resources to help rebuild Western Europe after World War II."
average cost per acre to grow corn,20463,numeric,"$1,045","In 2014, the total of all economic costs per acre for growing corn in Illinois averaged $1,045 in the northern section, $1,002 in the central section for farmland with high soil ratings, $955 in the central section for farmland with low soil ratings, and $895 in the southern section. Total costs per acre were the highest on record and total costs per bushel were the lowest in the last four years. Total cost per acre to produce soybeans increased, from $697 per acre in 2013 to $727 per acre in 2014. Generally speaking, the same expenses that increased for corn also increased for soybeans."
describe two enumerated powers of the president that influence domestic policy,20464,description,"Legislative powers (veto, pocket veto, signing legislation). State of the Union address.","One point is earned for each of two descriptions of formal, enumerated powers that enable the president to exert influence over domestic policy. Acceptable descriptions may include: • Legislative powers (veto, pocket veto, signing legislation). Part (a): 2 points. One point is earned for each of two descriptions of formal, enumerated powers that enable the president to exert influence over domestic policy. Acceptable descriptions may include: • Legislative powers (veto, pocket veto, signing legislation). • State of the Union address."
how must does autism cost,20465,numeric,The lifetime cost for an individual averages $2.4 million when autism involves intellectual disability and $1.4 million when it does not.,"* The lifetime cost for an individual averages $2.4 million when autism involves intellectual disability and $1.4 million when it does not. An estimated 40 percent of individuals with autism also have intellectual disability. * Based on these numbers, the yearly cost to the United States is an estimated $236 billion a year. The findings – published today in JAMA Pediatrics – provide crucial information for service planning and public policy, experts agree."
what is a excellent credit score,20466,description,A rating from a reporting bureau that typically gives you access to the best rates and terms on loans. Above 720 is consider as excellent score,"An excellent credit score is a rating from a reporting bureau that typically gives you access to the best rates and terms on loans. As of 2015, a Fair Isaac Corporation (FICO) credit score of 720 and above is generally considered excellent, according to Zillow."
cost of driveway cleaning,20467,numeric,$200,"Sealcoating Is Less Than I Expected: When people find out how affordable sealcoating really is, they are often elated and surprised. An average driveway, from start to finish, typically costs around $200. That includes everything, cleaning and prepping and application of the sealcoating material. "
what education does a landscape architect need,20468,description,A bachelor's or master's degree in landscape architecture usually is necessary for entry into the profession.,"A bachelor's or master's degree in landscape architecture usually is necessary for entry into the profession. There are two undergraduate landscape architect professional degrees: a Bachelor of Landscape Architecture (BLA) and a Bachelor of Science in Landscape Architecture (BSLA). These programs usually require 4 years of study. Accredited programs are approved by the Landscape Architectural Accreditation Board (LAAB). Landscape architects who work for government agencies design sites and landscapes for government buildings, parks, and other public lands, as well as plan for landscapes and recreation areas in national parks and forests. In addition, they prepare environmental impact assessments based on proposed construction."
What is the average life expectancy of a refrigerator?,20469,numeric,Between 14 and 17 years,"Average Life Expectancy. The average life expectancy for a properly maintained refrigerator is between 14 and 17 years, depending on model and size. Compact refrigerators typically run for 14 years on average, while a standard refrigerator will run up to 17 years. The life expectancy of your refrigerator is affected by how well it is cared for and its construction. Some models may last only about 10 years, while others may run for up to 19 years."
how long is a volleyball game,20470,numeric,A best 2 out of 3 volleyball match can last anywhere from half an hour to 2 hours.,"Report Abuse. A 25 point rally scoring game (or set as it is called in USAV) will last about 20 minutes on the average. If you play a 2 out of 3 match, it will last about an 40 minutes to an hour. If you play a 3 out of 5, it will last anywhere from an hour to 1 hour and 45 minutes. You also have to win by two to win the game so if it is going back and forth it could taken quite awhile. My experience is that a junior high match last's about 45 minutes. A high school match last's about 50-60 mintes. A college match is anywhere from 60-90 minutes for the most part"
how many weeks pregnant will i be,20471,numeric,40 weeks,"A pregnancy due date is actually calculated as 40 weeks from the first day of the last menstrual period. If you are counting “lunar months” which are only 28 days like a period cycle, then it is 10 “lunar months.” If you count full calendar months that are 30 to 31 days long, then it is really only 9 months. The doctor will estimate a due date by adding 40 weeks or 280 days to the first day of your last menstrual period. Remember, this is only an estimated date and only a small percentage of babies are actually born on the exact date."
which is the biggest ocean in the world,20472,location,The Pacific Ocean,"The Pacific Ocean is the largest of the world’s five oceans, followed by the Atlantic Ocean, Indian Ocean, Southern Ocean, and Arctic Ocean. It covers an area of about 155 million square kilometers (about 60 million square miles). One of the Pacific Ocean’s greatest assets is fish, including herring, salmon, sardines, snapper, swordfish, tuna, and shellfish. In 1996, over half (60%) of the world’s total fish catch came from the Pacific Ocean. Pearls are harvested along Australia, Japan, Papua New Guinea, Nicaragua, Panama, and the Philippines."
what does gpa scale mean,20473,description,A usually GPA scale is based on a 4.0. Unweighted: The unweighted GPA is the average of all class grades based on a 4.0 scale.,A usually GPA scale is based on a 4.0. Unweighted: The unweighted GPA is the average of all class grades based on a 4.0 scale.
where is hatfield,20474,location,"Hatfield is a town and civil parish in Hertfordshire, England, in the borough of Welwyn Hatfield.","Hatfield is a town and civil parish in Hertfordshire, England, in the borough of Welwyn Hatfield. It had a population of 29,616 in 2001, and is of Saxon origin. Hatfield House, the home of the Marquess of Salisbury, is the nucleus of the old town. Hatfield is 20 miles (32 km) to the north of London. It is 14 miles (23 km) from London Luton Airport and also near to Stansted airport The A1(M) runs through the town and it is close to the M25."
air temperature out of a data center,20475,numeric,18–27 °C,"Air conditioning is used to control the temperature and humidity in the data center. ASHRAE 's Thermal Guidelines for Data Processing Environments recommends a temperature range of 18–27 °C (64–81 °F), a dew point range of 5–15 °C (41–59 °F), and a maximum relative humidity of 60% for data center environments. In May 2011, data center research organization Uptime Institute reported that 36 percent of the large companies it surveyed expect to exhaust IT capacity within the next 18 months. Data center transformation takes a step-by-step approach through integrated projects carried out over time."
how long should you run a humidifier,20476,numeric,,
what is in heineken,20477,description,It is a pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken International.,"Heineken Lager Beer (Dutch: Heineken Pilsener), or simply Heineken (. [ˈɦɛinəkən]), is a pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken International. Heineken is well known for its signature green bottle and red star. 1 In 2014, Heineken celebrated its 150th anniversary. 2  In 2015, Heineken won the Creative Marketer of the Year Award, becoming the second company to win the award twice. 3  The original brewery where Gerard Adriaan Heineken first started making Heineken is now a museum."
how did you know you have tapeworm,20478,description,"If signs and symptoms are present, they usually include chronic indigestion, intestinal upset, weight loss, dizziness, abdominal pain, diarrhea or constipation, and loss of appetite.","If you believe you have symptoms of a tapeworm, see your doctor immediately. Symptoms include chronic indigestion, intestinal upset, weight loss, dizziness, abdominal pain, diarrhea or constipation, and loss of appetite. "
are investment fees for roth ira deductible,20479,description,Yes,"Roth IRA Fees. You might get hit with a number of different fees for your Roth IRA. Your custodian or trustee might charge you a setup fee, a maintenance fee, transaction fees when you buy or sell investments, transfer fees, withdrawal fees and advisory fees."
foods bad for underactive thyroid,20480,entity,"Cruciferous vegetables, such as cabbage, broccoli and cauliflower, and leafy vegetables, such as mustard greens and kale, however, can interfere with thyroid function.","Cruciferous vegetables, such as cabbage, broccoli and cauliflower, and leafy vegetables, such as mustard greens and kale, however, can interfere with thyroid function. Limit these vegetables, and emphasize thyroid-safe alternatives, such as bell peppers, squash, tomatoes and carrots."
is it safe to reset smartphone,20481,description,No,"SOLUTION. Performing a Factory data reset: 1  Click the Menu button and tap Settings. 2  Tap Privacy and, in the Personal data section, select Factory data reset. 3  Tap Reset Phone and then Erase everything to confirm. 4  The smartphone will shut down and reboot, restoring factory default settings. In case you want to restore your Android based smartphone to the factory default settings, it is possible to perform a Factory data reset from within the Android operating system. PRECAUTION. A Factory data reset will erase all your personal information, any contacts stored on your phone and any programs you installed"
is vestigial wings dominant or recessive,20482,description,Recessive,"The wing type is controlled by an autosomal or non-sex-linked gene. The wild type (normal wing) trait is dominant, and the vestigial wing is recessive. But if you look at their eye color; red (wild type) versus white (mutant), that would be an example of a sex-linked trait. Niotulove · 8 years ago. Thumbs up. Those having no dominant (V) gene would have vestigial wings and would have a vv genotype. Flies with vestigial wings have nothing more than vestiges or degenerated elements of wings and are unable to fly. However, they can still jump and run quite well."
who coined the term teenager,20483,person,America.,"Parents were waiting longer to goad their youngsters into marriage rather than pairing them off at the tender age of sixteen or seventeen. In short, it soon became apparent that a new stage of life — the teenage phase — was becoming a reality in America. American adolescents were displaying traits unknown among children and adults. Although the word teenager did not come into use until decades later, the teenage mindset dawned in the 1920s."
what should you eat if you get calcium oxalate stones,20484,entity,"Rhubarb, beets, okra, spinach, Swiss chard, sweet potatoes, nuts, tea, chocolate and soy products.","1 Eat fewer oxalate-rich foods. 2  If you tend to form calcium oxalate stones, your doctor may recommend restricting foods rich in oxalates. 3  These include rhubarb, beets, okra, spinach, Swiss chard, sweet potatoes, nuts, tea, chocolate and soy products. 4  Choose a diet low in salt and animal protein."
what are the lobes of the lungs,20485,description,Lungs are divided into right lung and left lung. Right lung has three lobes whereas left lung has only two lobes.,"Lobes of the Lungs. Lungs are divided into right lung and left lung. Right lung has three lobes whereas left lung has only two lobes. However, all the lobes help in the exchange of gases and aid breathing. Get detailed information in the following article."
what is violent crime definition,20486,description,A violent crime or crime of violence is a crime in which an offender uses or threatens force upon a victim.,"A violent crime or crime of violence is a crime in which an offender uses or threatens force upon a victim. This entails both crimes in which the violent act is the objective, such as murder, as well as crimes in which violence is the means to an end. Violent crimes may, or may not, be committed with weapons. Depending on the jurisdiction, violent crimes may vary from homicide to harassment. The comparison of violent crime statistics between countries is usually problematic, due to the way different countries classify crime. Valid comparisons require that similar offences between jurisdictions be compared."
how many spoons of sugar in tonic water,20487,numeric,4 teaspoon,"A Gin & Tonic. Taking an average of the sugar content in 250ml in this tonic water, this tonic water and this tonic water added to the 0 grams in gin, a glass of gin and tonic contains roughly 18 grams of sugar-or four teaspoons. 36% of your daily sugar intake. Again, vodka's sugar content is pretty much zilch. But taking an average of 250mls of this cranberry juice, this one and this one, you're looking at roughly 30 grams of sugar in each drink. That's 7.5 teaspoons. 60"
what are the benefits of cactus plant,20488,entity,"a superfood,healthy diet,the high-fiber cactus is rich in antioxidants and carotenoids.","The tender leaves or pads of the cactus, called nopales, often appear in boiled or grilled vegetable dishes, particularly in Mexican cuisine. Prickly pear extract and various other parts of the plant have many medicinal uses. While doctors of traditional medicine hesitate to call prickly pear cactus a superfood, they believe that it can supplement a healthy diet. The high-fiber cactus is rich in antioxidants and carotenoids. Practically the entire plant is edible and nutritious, from the flowers and fruits to the stems and leaves."
what color is normal martini,20489,entity,,
what does DECO mean,20490,description,Art deco.: a style of design that was popular in the 1920s and 1930s; marked by stylized forms and geometric designs adapted to mass production.,• ART DECO (noun). The noun ART DECO has 1 sense: 1. a style of design that was popular in the 1920s and 1930s; marked by stylized forms and geometric designs adapted to mass production. Familiarity information: ART DECO used as a noun is very rare. 
what are crosswalk lines,20491,description,"A pedestrian crossing or crosswalk is a place designated for pedestrians to cross a road.Crosswalks are designed to keep pedestrians together where they can be seen by motorists, and where they can cross most safely across the flow of vehicular traffic.","A pedestrian crossing or crosswalk is a place designated for pedestrians to cross a road. Crosswalks are designed to keep pedestrians together where they can be seen by motorists, and where they can cross most safely across the flow of vehicular traffic. A pedestrian crossing with a Vienna Convention standard sign indicating to motorists that they must give priority to pedestrians using it. In some countries, instead of don't walk, a depiction of a red man or hand indicating when not to cross, the drawing of the person crossing appears with an X drawn over it."
what is speech therapy,20492,description,"It is an intervention service that focuses on improving a child's speech and abilities to understand and express language, including nonverbal language.","Aimee Herring. Speech therapy is an intervention service that focuses on improving a child's speech and abilities to understand and express language, including nonverbal language. Speech therapists, or speech and language pathologists (SLPs), are the professionals who provide these services. If your child has a speech disability that includes trouble pronouncing words, speech therapy may help improve language development, communication, and pragmatic language skills."
how long to cook cut up potatoes in the oven,20493,numeric,45 minutes to 1 hour.,"Preheat the oven to 400 degrees F. Cut the potatoes in half or quarters and place in a bowl with the olive oil, salt, pepper, and garlic; toss until the potatoes are well coated. Transfer the potatoes to a sheet pan and spread out into 1 layer. Roast in the oven for 45 minutes to 1 hour or until browned and crisp. Flip twice with a spatula during cooking in order to ensure even browning. Remove the potatoes from the oven, toss with parsley, season to taste, and serve hot. Copyright 2001, Barefoot Contessa Parties!, All Rights Reserved."
meaning of the name shephatiah,20494,description,The lord that judges,"Meaning of Shephatiah. Israeli name. In Israeli, the name Shephatiah means-the lord that judges.The name Shephatiah originated as an Israeli name. The name Shephatiah is most often used as a boy name or male name. Israeli Name Meaning-the lord that judges. "
how long do kittens nurse,20495,numeric,10 Minutes,Kittens will nurse on the mother cat or a bottle with kitten milk replacer for five to 10 minutes or until they are full. Newborn kittens will generally nurse until they are four weeks old. Learn more about nursing kittens from a veterinarian in this free video on kitten care.
how to switch on zune player,20496,description,"In order to turn on the original Zune player, all you need is to make sure the hold switch is in the unlocked position and then press the Play/Pause button.To turn off your original Zune player, all you have to do is press and hold down the Back button and Down button. The device will then shut off.","It also doesn’t have a power button, which is why many users are confused about how to turn this player on and off. In order to turn on the original Zune player, all you need is to make sure the hold switch is in the unlocked position and then press the Play/Pause button. To turn off your original Zune player, all you have to do is press and hold down the Back button and Down button. The device will then shut off. Zune HD. The Zune HD is the updated version of the original Zune player. Unlike the original, it has a touchscreen, as well as updated controls. "
what is the role of business manager in investment banks,20497,description,"To advise businesses and governments on how to meet their financial challenges and to help them procure financing, whether it be from stock offerings, bond issues or derivative products.","In essence, investment banks are a bridge between large enterprises and the investor. Their main roles are to advise businesses and governments on how to meet their financial challenges and to help them procure financing, whether it be from stock offerings, bond issues or derivative products. Role as an advisor. Underwriting stocks and bonds. If an entity decides to raise funds through an equity or debt offering, one or more investment banks will also underwrite the securities. This means the institution buys a certain number of shares – or bonds – at a predetermined price and re-sells them through an exchange."
ways to tell parents you're pregnant,20498,description,"Telling your parents that you're pregnant can be almost as scary as being pregnant Once you've learned that you are pregnant, you may be feeling too overwhelmed to figure out a way to tell your parents telling your parents that you're pregnant can be almost as scary as being pregnant.","Two Methods: Preparing for the Talk Breaking the News. Telling your parents that you're pregnant can be almost as scary as being pregnant. Once you've learned that you are pregnant, you may be feeling too overwhelmed to figure out a way to tell your parents."
best over the counter medication for cold and inflammation,20499,entity,"Aspirin, ibuprofen and naproxen.","Before beginning any drug regimen, talk to your doctor about the best option for you. NSAIDs (nonsteroidal anti-inflammatory drugs) include medicines such as aspirin, ibuprofen and naproxen, which are available in over-the-counter and prescription strength formulas for pain."
cost of a do it yourself divorce,20500,numeric,$518.00,"Thus, your total cost with the court filing fee is $468.00. Our fee for the Do-It-Yourself Divorce with minor children (for an action involving custody of children) is two hundred dollars ($200.00) which includes ~50 pages of typing. Thus, your total cost with the court filing fee is $518.00."
how do humans affect rabbits,20501,description,"Fur mites, or walking dandruff, affect mainly rabbits.","Fur mites, or walking dandruff, affect mainly rabbits, but also guinea pigs, hedgehogs, rodents, cats, and dogs. Although an uncommon host for the mite, these mites can also be transmitted to humans. "
shorten links for twitter,20502,description,"Simply enter your long URL and click the Shorten button. You can copy the resulting bit.ly link and use it in your tweets, in your e-mail, or even on your website.","In addition to using bit.ly as a tool integrated into third-party tools you can also use it directly at the bit.ly website. Simply enter your long URL and click the Shorten button. You can copy the resulting bit.ly link and use it in your tweets, in your e-mail, or even on your website."
what is a zebra mussel,20503,description,The zebra mussel (Dreissena polymorpha) is a small freshwater mussel.,"Zebra mussels. Many zebra mussels attached to a native mussel. Species and Origin: Zebra mussels are small, fingernail-sized animals that attach to solid surfaces in water. Adults are 1/4 to 1-1/2 inches long and have D-shaped shells, often with alternating yellow and brownish colored stripes. Female zebra mussels can produce 100,000 to 500,000 eggs per year"
how to build gravel pad under concrete,20504,description,"Just pouring a Slab without footings it is very important that you have firmly packed gravel, 4-6 and then about 6 of 3/4 stone, the 3/4 stone will allow the slab to float, and move, rather than crack when the gravel shifts. Gravel provides pockets or voids for the water to travel down away from the concrete.","If you are just pouring a Slab without footings it is very important that you have firmly packed gravel, 4-6 and then about 6 of 3/4 stone, the 3/4 stone will allow the slab to float, and move, rather than crack when the gravel shifts. MichaeMike · 6 years ago. Thumbs up. 2. Thumbs down. 2. 1 comment. Loading ... If the soils are wet, or have a great deal of clay and therefore do not drain well, sand will actually keep moisture close to the underside of the slab by capillary action. You do not want this. Gravel provides pockets or voids for the water to travel down away from the concrete."
how much protein should you eat per day,20505,numeric,"46 grams of protein for women, and 56 grams of protein for men.","Adults in the U.S. are encouraged to get 10% to 35% of their day's calories from protein foods. That's about 46 grams of protein for women, and 56 grams of protein for men. It's not hard to get this amount if you eat two to three servings of protein-rich foods a day, according to the CDC. 1  A small 3-ounce piece of meat has about 21 grams of protein. 2  A typical 8-ounce piece of meat could have over 50 grams of protein."
when should hcg blood test be done,20506,numeric,7-10 days post ovulation.,"More sensitive tests, those that are able to detect a lower amount of hCG, can provide an accurate result as early as 7-10 days post ovulation. When deciding if you should use an HPT or have a blood pregnancy test done at the lab, here are a few items to consider: 1 (See the chart below for average blood hCG levels as pregnancy advances). 2  If hCG levels do not rise appropriately in those very early days, it can signal a problem with the pregnancy. 3  By monitoring your exact hCG levels with regular quantitative blood test, your doctor may be able to detect a problem early on."
what amps should a well charged battery read,20507,description,48 amp,"How to charge a battery. An average car battery has a capacity of around 48 amp hours which means that, fully charged, it delivers 1 amp for 48 hours, 2 amps for 24 hours, 8 amps for 6 hours and so on."
how was the alamo gulf coast railroad started,20508,description,"Founded in the eighteenth century as a Roman Catholic mission and fortress compound, it was the site of the Battle of the Alamo in 1836.","The Alamo Mission in San Antonio, commonly called the Alamo, and originally known as the Mission San Antonio de Valero, is a UNESCO World Heritage Site in San Antonio, Texas. Founded in the eighteenth century as a Roman Catholic mission and fortress compound, it was the site of the Battle of the Alamo in 1836. The Alamo is now a museum in the Alamo Plaza Historic District. In the 19th century, the mission complex became known as the Alamo. The name may have been derived from the grove of nearby cottonwood trees, known in Spanish as alamo. álamo, alternatively in, 1803 the abandoned compound was occupied by The Second Flying company Of San carlos De, parras Álamo alamo álamo de Parras. in coahuila"
which brothers is richest from jonas brothers,20509,person,Nick jons,"The three Jonas Brothers, Kevin, Joe and Nick, are a wildly successful American Pop Rock Boy Band who have a net worth of $50 million. Each brother has an estimated net worth of one-third of that money — $18 million. Nick was the first of the brothers to try his hand at show business."
what is computer VMWare,20510,description,The field of system virtualization and cloud computing.,"VMware, Inc. is a software company, well known in the field of system virtualization and cloud computing. VMware's software allows users to create multiple virtual environments, or virtual computer systems, on a single computer or server. Essentially, one computer or server could be used to host, or manage, many virtual computer systems, sometimes as many as one hundred or more. In April 2011, VMware entered the cloud computing market by releasing Cloud Foundry, an open source platform-as-a-service software system."
savanna average temperature,20511,numeric,From about 68° F - 86° F.,Average Annual Temperature. The African savanna has a relatively moderate temperature with it not going over 86° F and not going under 68° F. During the winter (which can pretty much be classified as the dry season) the temperature will range from about 68° F - 78° F (or 20° C - 25° C).
what are the most common infectious diseases by tapeworms,20512,entity,"The pork tapeworm (Taenia solium), beef tapeworm (Taenia saginata), dwarf tapeworm (Hymenolepis nana) and fish tapeworm (Diphyllobothrium latum) from raw freshwater fish.","Causes of tapeworm infection. In human beings, tapeworm infection is most commonly caused by the pork tapeworm (Taenia solium), beef tapeworm (Taenia saginata), dwarf tapeworm (Hymenolepis nana), and fish tapeworm (Diphyllobothrium latum) from raw freshwater fish. Most people become infected after ingesting tapeworm eggs or larvae. Fish tapeworm infection is more common in countries where the consumption of raw fish is common practice, such as Eastern Europe, Scandinavia and Japan. Undercooked or raw freshwater fish, such as salmon, are the most common sources."
what focuses on the development of psychological tests,20513,description,It focuses primarily on identifying the role of genetic determinants and how they mold individual personalities.,Personality psychology is a branch of psychology that studies personality and its variation among individuals. Biology plays a very important role in the development of personality. The study of the biological level in personality psychology focuses primarily on identifying the role of genetic determinants and how they mold individual personalities.
cost to wire house,20514,numeric,"between $960 and $1,395","Average Cost to Install Electrical Panels & Wiring. The average cost to hire an electrician to install an electrical panel and wiring is $1,175. Most homeowners pay between $960 and $1,395 to have this type of work completed, with a general maximum of around $2,220. "
what is the role of carbon dioxide in the krebs cycle,20515,description,"Carbon Dioxide (CO 2) and Water (H 2 O).n first step of Krebs cycle, Acetyl CoA combines with oxaloacetate in the presence of condensing enzymes citrate synthetase. CoA is released out. The product of condensation is citrate which is a tricarboxylic 6-carbon.","Krebs cycle (also known as Citric Acid Cycle or Tricarboxylic Acid Cycle) is a step wise cyclic process which is used to oxidize the pyruvate formed during the glycolytic breakdown of glucose into Carbon Dioxide (CO 2) and Water (H 2 O). In first step of Krebs cycle, Acetyl CoA combines with oxaloacetate in the presence of condensing enzymes citrate synthetase. CoA is released out. The product of condensation is citrate which is a tricarboxylic 6-carbon compound."
what is enfj personality,20516,description,"The ENFJ is the people organizer, warm, harmonious, and an enthusiastic champion of people who just wants to “do good.” They make sure the needs of the people are paramount, placed in pole position on the agenda, and taken care of.","ENFJ. The ENFJ is the people organizer, warm, harmonious, and an enthusiastic champion of people who just wants to “do good.” They make sure the needs of the people are paramount, placed in pole position on the agenda, and taken care of. ENFJ’s are excellent networkers who tune into what others want and are generally well-liked and popular among their colleagues. ENFJs have a tendency to bite off more that they can chew, as their first priority is to say “yes” and take the pain away from others."
what room temperature for newborn,20517,numeric,Between 16 degrees C and 20 degrees C.,"BabyCentre's health visitor. You can help your baby to sleep safe and sound by keeping the temperature in his room between 16 degrees C and 20 degrees C. A basic room thermometer will help you to keep an eye on the temperature. If your baby gets too hot, he may be more at risk of sudden infant death syndrome (SIDS), also known as cot death. You may want to place an electric fan in your baby’s bedroom. If you do, keep the fan well away from your baby’s cot and check regularly that his room is not too cold. If you think your baby is getting too hot, check his tummy. If it feels hot, or if he's sweaty, remove some layers."
how long can you marinate a whole chicken for in the fridge,20518,numeric,Two days,"1 Removing the skin from the chicken will help it absorb marinade. 2  In general, two hours of marinating is long enough for the meat to soak up the flavor, but poultry can marinate for up to two days in the refrigerator, according to the USDA Food Safety and Inspection Service. 1 In general, two hours of marinating is long enough for the meat to soak up the flavor, but poultry can marinate for up to two days in the refrigerator, according to the USDA Food Safety and Inspection Service."
what is ginger tea,20519,description,"It is a healthier option that can be just as effective. It’s a simple yet soothing home remedy for nausea and other digestive symptoms, such as when your digestive system just feels unsettled.","Digestion and Morning Sickness. Ginger ale is a go-to drink for many people’s digestive upsets, but ginger tea is a healthier option that can be just as effective. It’s a simple yet soothing home remedy for nausea and other digestive symptoms, such as when your digestive system just feels unsettled. "
what can cause hiccups daily,20520,description," 1 A hair or something else in your ear touching your eardrum. 2 A tumor, cyst or goiter in your neck.","Nerve damage or irritation. The most common cause of long-term hiccups is damage to or irritation of the vagus nerves or phrenic nerves, which serve the diaphragm muscle.Factors that may cause damage or irritation to these nerves include: 1  A hair or something else in your ear touching your eardrum. 2  A tumor, cyst or goiter in your neck."
what is a learning log,20521,description,A Learning Log is basically a log or record or journal of your own learning.,"LEARNING LOG or LEARNING JOURNALS. A Learning Log is basically a log or record or journal of your own learning. It is not necessarily a formal ‘academic’ piece of work. It is a personal record of your own learning. As such it is a document which is unique to you and cannot be ‘right’ or ‘wrong’. A Learning Log helps you to record, structure, think about and reflect upon, plan, develop and evidence your own learning."
correct temperature for chest freezer,20522,numeric,-5 to +5 degrees Fahrenheit,"Freezer Upright and Chest Temperatures. The correct operating temperature of chest and upright freezers, including smaller, compact models is -5 to +5 degrees Fahrenheit. In order to take the temperature of solid food, place a thermometer between frozen packages or in some ice cream. Your chest freezer has a test position on the temperature monitor control. In order to verify that the buzzer is working, just put the switch in the test position and turn the thermostat to the coldest setting. The buzzer should go off within 10 to 15 seconds."
what does a chiminea burn,20523,description,"Charcoal, Hard woods.","The chiminea is primarily a wood-burning stove. Hard woods burn best and produce the least amount of sparks. Some chiminea users who cook in their chimineas burn charcoal, which gives a longer lasting, more uniform heat than firewood."
tiger eye stone definition,20524,description,"Tiger's eye (also called Tigers eye or Tiger eye) is a chatoyant gemstone that is usually a metamorphic rock that is a golden to red-brown colour, with a silky luster.","Tiger's eye (also called Tigers eye or Tiger eye) is a chatoyant gemstone that is usually a metamorphic rock that is a golden to red-brown colour, with a silky luster. A member of the quartz group, it is a classic example of pseudomorphous replacement by silica of fibrous crocidolite (blue asbestos). "
who wrote the song cinnamon,20525,person,Neil Young,"Well, this is what we think it would be like... Cinnamon Girl by Neil Young & His Electric Band with Rick Rosas, Ben Keith, Chad Cromwell, Anthony Crawford and Pegi Young. Madison Square Garden, New York on December 16, 2008. It was the last stop on his 2008 North American Tour. And as we scanned the Decade box album liner notes, we recall how Neil -- absolutely totally astonishingly -- wrote Down by the River, Cinnamon Girl, and Cowgirl in the Sand all in a single afternoon -- while sick and delirious with a 103 degree temperature."
average size of oven range,20526,numeric,Height of 36 inches and width is 30 inches.,"Stove/Oven Height. When it comes to height, there are some variations. Average heights for a stove/oven combo are either 37.25 inches or 47 inches, depending on the manufacturer. The most common height of 36 inches accommodate standard counter heights."
is ira contribution limit is for both traditional and roth ira,20527,numeric,Yes,"The Traditional and Roth IRA contribution limits are $5,500 for those under age 50. Persons age 50 and over can make additional catch up contributions of $1,000, for a total contribution limit of $6,500. You can have both a Roth IRA and a Traditional IRA in the same tax year, but you can’t exceed the contribution limit with your combined contributions to both accounts. Roth IRA phase out. Like the Traditional IRA, the IRS has phase out rules for Roth IRA contributions. Tax filers will be able to contribute the maximum amount to their IRA if they don’t exceed certain income limits. 1  Single, Head of Household, or Married Filing Separately can contribute the maximum if their MAGI is $116,000 or les"
what are antibodies and why are they good,20528,description,"Antibodies are proteins that exist in bodily fluids, and are used both as a detection and response device by the immune system. Antibodies are made in plasma cells, which are a type of white blood cell, and are an integral part to the body’s natural defense system.In mammals, there are five primary types of antibodies, each with similar basic structures.","Antibodies are proteins that exist in bodily fluids, and are used both as a detection and response device by the immune system. Antibodies are made in plasma cells, which are a type of white blood cell, and are an integral part to the body’s natural defense system. In mammals, there are five primary types of antibodies, each with similar basic structures."
is polaris orp company located,20529,person,Yes,"Polaris is located in the constellation of Ursa Minor, the Little Bear. It sometimes also goes by the name “Stella Polaris.” The seven stars from which we derive a bear are also known as the Little Dipper. Polaris, the North Star lies at the end of the handle of the Little Dipper, whose stars are rather faint. So at any hour of the night, at any time of the year you can readily find Polaris and it is always found in a due northerly direction. If you were at the North Pole, the North Star would be directly overhead. That’s true now, anyway. But Polaris won’t always be the North Star."
